station_name,station_line,count,actual_average,predicted_average,mae,mape,signed_error_percent
東池袋,8号線有楽町線,10,96600000.0,84691267.88328715,12772039.320912484,15.012142887558117,-12.661749322481104
保谷,池袋線,10,46600000.0,39903992.2052866,7127661.309717727,15.207745072024371,-14.269367865493233
昭島,青梅線,10,27500000.0,26800742.60482133,4194880.09577502,15.504437710119172,2.21187153891055
京王多摩川,相模原線,10,36280000.0,32006398.458248466,5765740.585406939,16.065482704452688,-8.64558712622926
千駄木,9号線千代田線,10,51900000.0,42978141.00926143,10588590.938527232,16.498348041763336,-9.435771753511354
東十条,東北線,10,65100000.0,54476904.689983726,11280367.215977311,16.617283843198475,-10.044564783588102
要町,8号線有楽町線,10,77200000.0,61084128.833502784,16572542.230026007,19.041853948576865,-18.109872186273225
代々木上原,小田原線,10,151900000.0,133368178.48361492,27252773.50753653,19.53581660964731,-6.437695761012739
五反野,伊勢崎線,10,37400000.0,30051472.01986153,7348527.98013847,20.126362779119752,-20.126362779119752
曳舟,亀戸線,10,63100000.0,49812025.59348461,13287974.40651539,20.20041523131173,-20.20041523131173
小村井,亀戸線,10,35500000.0,29621729.618663885,6930867.445297238,20.474819472740283,-12.034904169838834
西新井,伊勢崎線,10,43000000.0,36133017.024667874,8944783.916188763,22.838041562063427,-9.119988309517215
大井競馬場前,東京モノレール羽田線,9,41000000.0,38860944.35279809,3392449.975399211,7.205224660131508,-3.903180975545438
東府中,競馬場線,9,38588888.88888889,35558705.29438275,3691223.5274395053,9.590764384312545,-7.754542348386526
大鳥居,空港線,9,44888888.88888889,38986471.80579611,5960151.091426579,12.468736995310884,-12.269654207952952
成増,東上本線,9,50411111.11111111,45627282.82113019,7169585.446314354,12.985704107239455,-4.484349146172922
狭間,高尾線,9,17222222.222222224,16118307.26119762,2042004.0661922519,13.317725958628737,-1.658167844393344
北池袋,東上本線,9,48100000.0,42215983.979757816,7988391.622175528,14.452878871343067,-6.36245637987748
神谷町,2号線日比谷線,9,97111111.1111111,84973134.81874835,16703579.640003406,14.485222262540397,-6.308766357730152
六郷土手,本線,9,61888888.88888889,53321492.874787375,8701888.231127962,15.485457312649775,-15.210983400350901
石神井公園,池袋線,9,68666666.66666667,56961512.42286547,11705154.243801193,15.5900225857428,-15.5900225857428
富士見台,池袋線,9,41333333.333333336,37756846.549202174,6621643.305465368,15.78134832177724,-6.674574062875319
笹塚,京王線,9,60111111.11111111,53036188.22575301,9033892.544441823,15.791021434113247,-12.315569599113335
鷺ノ宮,新宿線,9,39333333.333333336,36090503.454598986,6847605.618807532,16.074746777089867,-7.021895727965952
田端,山手線,9,59555555.55555555,49922429.74134987,11287174.234079054,17.478942379568146,-12.208809393655791
板橋本町,6号線三田線,9,38888888.88888889,37845906.7843078,5954508.319546127,17.60119396967698,0.38683188200671104
新馬場,本線,9,53000000.0,45124138.48144023,8893642.652851338,18.57651361086326,-15.749116904750773
浜田山,井の頭線,9,227444444.44444445,178434176.042403,52265941.01518853,20.884761622235317,-15.55268463107292
東久留米,池袋線,9,36666666.666666664,30322871.894558992,8104214.064746957,20.953038298815486,-13.33582317482775
上町,世田谷線,9,44111111.11111111,40465555.540592216,9409868.031994112,21.676197397912883,-1.641477266181033
根津,9号線千代田線,9,71444444.44444445,71182336.54081775,14859439.089939654,22.69361589196385,4.701845145373001
茅場町,5号線東西線,9,92444444.44444445,68257075.89951718,24187368.544927273,23.149242202247187,-23.149242202247187
江北,日暮里・舎人ライナー,9,46211111.11111111,26424702.492665183,20006991.478109445,23.47415769767854,-22.55506244908057
若松河田,12号線大江戸線,9,83444444.44444445,62940308.6508386,21669745.97659356,23.50105008187246,-18.433179721056284
京王堀之内,相模原線,9,25555555.555555556,23973722.78615676,6647554.64439665,29.777124993508,4.182019276885682
東大和市,拝島線,8,28500000.0,26807059.243022528,1849230.3160068155,8.048376269381638,-7.397169773426044
若葉台,相模原線,8,45000000.0,40844884.96170082,4911589.530456543,9.492647330879205,-6.5393909324959685
西八王子,中央線,8,19287500.0,18199783.59048167,1692584.4222880034,9.500546465896738,-6.5390288540280475
八広,押上線,8,37875000.0,33694784.266786024,4673542.558364719,10.930901743379028,-9.560549451293626
玉川学園前,小田原線,8,30500000.0,28637523.617971286,3754157.546648334,11.751129280511952,-4.232275990878779
